match_id,season,venue,team1,team2,toss_winner,toss_decision,toss_winner_is_team1,first_innings_score,team1_won
241,2022,Narendra Modi Stadium,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,bat,0,204,0
242,2022,Wankhede Stadium,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,bat,1,187,0
243,2022,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,bat,1,163,0
244,2022,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,bat,0,208,0
245,2022,Wankhede Stadium,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,field,1,181,1
246,2022,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,0,170,1
247,2022,Narendra Modi Stadium,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,0,200,1
248,2022,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,0,176,0
249,2022,Narendra Modi Stadium,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,bat,0,216,0
250,2022,Wankhede Stadium,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,1,193,1
251,2022,Wankhede Stadium,Gujarat Titans,Punjab Kings,Gujarat Titans,bat,1,181,0
252,2022,Narendra Modi Stadium,Gujarat Titans,Delhi Capitals,Gujarat Titans,field,1,197,0
253,2023,Narendra Modi Stadium,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,0,230,1
254,2023,Wankhede Stadium,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,0,215,1
255,2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,field,0,192,1
256,2023,Narendra Modi Stadium,Lucknow Super Giants,Punjab Kings,Punjab Kings,bat,0,202,0
257,2023,Wankhede Stadium,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,bat,1,192,1
258,2023,Wankhede Stadium,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,field,1,205,0
259,2023,Wankhede Stadium,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,0,220,1
260,2023,Wankhede Stadium,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,field,1,131,1
261,2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Gujarat Titans,Royal Challengers Bengaluru,Gujarat Titans,field,1,203,0
262,2023,Wankhede Stadium,Gujarat Titans,Mumbai Indians,Gujarat Titans,bat,1,196,1
263,2023,Wankhede Stadium,Gujarat Titans,Punjab Kings,Gujarat Titans,field,1,192,1
264,2023,Wankhede Stadium,Gujarat Titans,Rajasthan Royals,Gujarat Titans,bat,1,221,1
265,2023,Narendra Modi Stadium,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,field,0,186,1
266,2023,Wankhede Stadium,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,0,171,0
267,2024,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Punjab Kings,Punjab Kings,bat,0,194,0
268,2024,Wankhede Stadium,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,0,202,0
269,2024,Narendra Modi Stadium,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,bat,0,227,0
270,2024,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,field,1,147,1
271,2024,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,bat,0,222,0
272,2024,Narendra Modi Stadium,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,0,154,0
273,2024,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,0,164,0
274,2024,Narendra Modi Stadium,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,0,201,1
275,2024,Narendra Modi Stadium,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,1,204,1
276,2024,Narendra Modi Stadium,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,0,171,0
277,2024,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,bat,0,152,1
278,2024,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Gujarat Titans,Punjab Kings,Punjab Kings,field,0,232,1
279,2024,Wankhede Stadium,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,field,0,211,1
280,2024,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Gujarat Titans,Mumbai Indians,Gujarat Titans,field,1,169,1
